biomass_sample_id,subplot_id,plot_number,subplot_number,crop,unique_id
plot_3_subplot_1_oat,714187,3,1,oat,3o
plot_3_subplot_1_pea,714187,3,1,pea,3p
plot_3_subplot_1_weed,714187,3,1,weed,3w
plot_4_subplot_1_oat,713812,4,1,oat,4o
plot_4_subplot_1_pea,713812,4,1,pea,4p
plot_4_subplot_1_weed,713812,4,1,weed,4w
plot_7_subplot_3_oat,714582,7,3,oat,7o
plot_7_subplot_3_pea,714582,7,3,pea,7p
plot_7_subplot_3_weed,714582,7,3,weed,7w
plot_8_subplot_3_oat,714418,8,3,oat,8o
plot_8_subplot_3_pea,714418,8,3,pea,8p
plot_8_subplot_3_weed,714418,8,3,weed,8w
plot_9_subplot_1_oat,714329,9,1,oat,9o
plot_9_subplot_1_pea,714329,9,1,pea,9p
plot_9_subplot_1_weed,714329,9,1,weed,9w
plot_10_subplot_1_oat,714047,10,1,oat,10o
plot_10_subplot_1_pea,714047,10,1,pea,10p
plot_10_subplot_1_weed,714047,10,1,weed,10w
plot_11_subplot_1_oat,714068,11,1,oat,11o
plot_11_subplot_1_pea,714068,11,1,pea,11p
plot_11_subplot_1_weed,714068,11,1,weed,11w
plot_12_subplot_1_oat,713672,12,1,oat,12o
plot_12_subplot_1_pea,713672,12,1,pea,12p
plot_12_subplot_1_weed,713672,12,1,weed,12w
plot_17_subplot_3_oat,714345,17,3,oat,17o
plot_17_subplot_3_pea,714345,17,3,pea,17p
plot_17_subplot_3_weed,714345,17,3,weed,17w
plot_18_subplot_3_oat,713696,18,3,oat,18o
plot_18_subplot_3_pea,713696,18,3,pea,18p
plot_18_subplot_3_weed,713696,18,3,weed,18w
plot_19_subplot_3_oat,714179,19,3,oat,19o
plot_19_subplot_3_pea,714179,19,3,pea,19p
plot_19_subplot_3_weed,714179,19,3,weed,19w
plot_20_subplot_3_oat,713935,20,3,oat,20o
plot_20_subplot_3_pea,713935,20,3,pea,20p
plot_20_subplot_3_weed,713935,20,3,weed,20w
plot_27_subplot_1_oat,713679,27,1,oat,27o
plot_27_subplot_1_pea,713679,27,1,pea,27p
plot_27_subplot_1_weed,713679,27,1,weed,27w
plot_28_subplot_1_oat,714372,28,1,oat,28o
plot_28_subplot_1_pea,714372,28,1,pea,28p
plot_28_subplot_1_weed,714372,28,1,weed,28w
plot_35_subplot_3_oat,714022,35,3,oat,35o
plot_35_subplot_3_pea,714022,35,3,pea,35p
plot_35_subplot_3_weed,714022,35,3,weed,35w
plot_36_subplot_3_oat,714100,36,3,oat,36o
plot_36_subplot_3_pea,714100,36,3,pea,36p
plot_36_subplot_3_weed,714100,36,3,weed,36w
plot_41_subplot_1_oat,713829,41,1,oat,41o
plot_41_subplot_1_pea,713829,41,1,pea,41p
plot_41_subplot_1_weed,713829,41,1,weed,41w
plot_42_subplot_1_oat,714502,42,1,oat,42o
plot_42_subplot_1_pea,714502,42,1,pea,42p
plot_42_subplot_1_weed,714502,42,1,weed,42w
plot_47_subplot_1_oat,713544,47,1,oat,47o
plot_47_subplot_1_pea,713544,47,1,pea,47p
plot_47_subplot_1_weed,713544,47,1,weed,47w
plot_48_subplot_1_oat,714496,48,1,oat,48o
plot_48_subplot_1_pea,714496,48,1,pea,48p
plot_48_subplot_1_weed,714496,48,1,weed,48w
plot_49_subplot_1_oat,714026,49,1,oat,49o
plot_49_subplot_1_pea,714026,49,1,pea,49p
plot_49_subplot_1_weed,714026,49,1,weed,49w
plot_50_subplot_1_oat,714241,50,1,oat,50o
plot_50_subplot_1_pea,714241,50,1,pea,50p
plot_50_subplot_1_weed,714241,50,1,weed,50w
plot_51_subplot_3_oat,714121,51,3,oat,51o
plot_51_subplot_3_pea,714121,51,3,pea,51p
plot_51_subplot_3_weed,714121,51,3,weed,51w
plot_52_subplot_3_oat,713594,52,3,oat,52o
plot_52_subplot_3_pea,713594,52,3,pea,52p
plot_52_subplot_3_weed,713594,52,3,weed,52w
plot_53_subplot_1_oat,714288,53,1,oat,53o
plot_53_subplot_1_pea,714288,53,1,pea,53p
plot_53_subplot_1_weed,714288,53,1,weed,53w
plot_54_subplot_1_oat,714199,54,1,oat,54o
plot_54_subplot_1_pea,714199,54,1,pea,54p
plot_54_subplot_1_weed,714199,54,1,weed,54w
plot_55_subplot_1_oat,713978,55,1,oat,55o
plot_55_subplot_1_pea,713978,55,1,pea,55p
plot_55_subplot_1_weed,713978,55,1,weed,55w
plot_56_subplot_1_oat,714065,56,1,oat,56o
plot_56_subplot_1_pea,714065,56,1,pea,56p
plot_56_subplot_1_weed,714065,56,1,weed,56w
plot_57_subplot_1_oat,714443,57,1,oat,57o
plot_57_subplot_1_pea,714443,57,1,pea,57p
plot_57_subplot_1_weed,714443,57,1,weed,57w
plot_58_subplot_1_oat,713503,58,1,oat,58o
plot_58_subplot_1_pea,713503,58,1,pea,58p
plot_58_subplot_1_weed,713503,58,1,weed,58w
plot_61_subplot_3_oat,714327,61,3,oat,61o
plot_61_subplot_3_pea,714327,61,3,pea,61p
plot_61_subplot_3_weed,714327,61,3,weed,61w
plot_62_subplot_3_oat,713965,62,3,oat,62o
plot_62_subplot_3_pea,713965,62,3,pea,62p
plot_62_subplot_3_weed,713965,62,3,weed,62w
plot_71_subplot_3_oat,714547,71,3,oat,71o
plot_71_subplot_3_pea,714547,71,3,pea,71p
plot_71_subplot_3_weed,714547,71,3,weed,71w
plot_72_subplot_3_oat,713785,72,3,oat,72o
plot_72_subplot_3_pea,713785,72,3,pea,72p
plot_72_subplot_3_weed,713785,72,3,weed,72w
plot_81_subplot_3_oat,714470,81,3,oat,81o
plot_81_subplot_3_pea,714470,81,3,pea,81p
plot_81_subplot_3_weed,714470,81,3,weed,81w
plot_82_subplot_3_oat,713875,82,3,oat,82o
plot_82_subplot_3_pea,713875,82,3,pea,82p
plot_82_subplot_3_weed,713875,82,3,weed,82w
plot_83_subplot_1_oat,714053,83,1,oat,83o
plot_83_subplot_1_pea,714053,83,1,pea,83p
plot_83_subplot_1_weed,714053,83,1,weed,83w
plot_84_subplot_1_oat,714472,84,1,oat,84o
plot_84_subplot_1_pea,714472,84,1,pea,84p
plot_84_subplot_1_weed,714472,84,1,weed,84w
